text,label
"Title: Senior Java Developer\nCompany: Google\nDescription:\nWe are looking for an experienced Java Developer to join our Cloud team. You will build scalable microservices...",1
"Title: Python Engineer - AI/ML\nCompany: OpenAI\nDescription:\nJoin our research team to build the next generation of AI models using PyTorch and Python...",1
"Title: Data Scientist\nCompany: Netflix\nDescription:\nseeking a data scientist to analyze viewer preferences and optimize content algorithms...",1
"Title: Devops Engineer\nCompany: Amazon AWS\nDescription:\naws infrastructure automation using terraform and kubernetes...",1
"Title: Full Stack Developer (React/Node)\nCompany: Startup Inc\nDescription:\nlooking for a full stack wizard to build our new saas product...",1
"Title: Backend Engineer\nCompany: Stripe\nDescription:\nbuilding payments infrastructure for the internet...",1
"Title: QA Automation Engineer\nCompany: Microsoft\nDescription:\nwriting automated tests using selenium and c#...",1
"Title: Product Manager\nCompany: Uber\nDescription:\nhiring a PM for our driver experience team...",1
"Title: Machine Learning Engineer\nCompany: Meta\nDescription:\nworking on ranking algorithms for instagram feed...",1
"Title: Software Architect\nCompany: Nvidia\nDescription:\ndesigning high performance computing systems...",1
"Title: Urgent Requirement - Java Developer\nCompany: Infosys\nDescription:\nHi,\nWe have an urgent requirement for a Java Developer...\nRate: $60/hr",1
"Title: Sent from my iPhone\nCompany: \nDescription:\nSent from my iPhone",0
"Title: Monthly Newsletter\nCompany: TechCrunch\nDescription:\nTop stories in tech this week...",0
"Title: Invitation: Sync-up @ Mon Feb 5, 2024\nCompany: \nDescription:\nYou have been invited to the following event...",0
"Title: Re: Lunch?\nCompany: \nDescription:\nHey, represent free for lunch today?",0
"Title: Verify your email address\nCompany: GitHub\nDescription:\nPlease verify your email address to continue...",0
"Title: Your order has shipped\nCompany: Amazon\nDescription:\nHi, your package is on the way...",0
"Title: LinkedIn Notification\nCompany: LinkedIn\nDescription:\nYou appeared in 5 searches this week...",0
"Title: Unsubscribe\nCompany: \nDescription:\nClick here to unsubscribe from this mailing list...",0
"Title: 50% Off Sale\nCompany: Gap\nDescription:\nDon't miss our biggest sale of the year...",0
"Title: New Login from unrecognized device\nCompany: Google\nDescription:\nWas this you? Check activity...",0
"Title: Call with John/Jane\nCompany: \nDescription:\nScheduled call...",0
"Title: Fwd: Resume\nCompany: \nDescription:\nFYI - see attached resume",0
"Title: \nCompany: \nDescription:\n",0
